"Brand","Number"
"Alba Lupa","1"
"Belvedere","3"
"Crystal Head","3"
"Egge Gard","1"
"Fjodor","1"
"Kauffman Vodka","1"
"Moskovskaya Wodka","3"
"Pernod Ricard","1"
"Dewar's","3"
"Dimple","1"
"Dourthe","0"
"Dalwhinnie","2"
"Hermitage","0"
"Chateau Margaux","44"
"Chateau d’Yquem","44"
"Chateau Haut-Mouleyre","44"
"Caliterra","3"
"Cheval Noir","2"
"Chateau Talbot","44"
"Chateau Cantemerle","44"
"Chateau Lascombes","44"
"Chateau de Lamarque","44"
"Chateau du Cartillon","44"
"Chateau Lestage-Simon","44"
"Chateau Palmer","44"
"Chateau Petrus","44"
"Chateau Pey La Tour","44"
"Royal Salute","6"
"Duc de la Salle","0"
"Chateau L'Enclos","44"
"Chateau d'Esclans","44"
"Carruades de Lafite","1"
"Chateau Faizeau","44"
"Gallo Family","9"
"Guy Saget","3"
"Glen Parker","8"
"Hardys","8"
"Gaja","5"
"Nino Cerruti","0"
"Söhnlein","0"
"Sassicaia","0"
"Yellow Tail","5"
"Hankey Bannister","2"
"Kalfany","12"
"Lion","2"
"Jacob's Creek","4"
"Lambrusco","1"
"Lauder's","4"
"G.H. Mumm","2"
"Maker's Mark","1"
"Robert Mondavi","2"
"Tenuta dell'Ornellaia","3"
"Clos Mireille","1"
"Opus One","1"
"Pasquier Desvignes","1"
"Rupert & Rothschild","2"
"Protos","3"
"Cavendish & Harvey","9"
"Cadbury","10"
"Cote d'Or","3"
"Feodora","4"
"Galaxy","9"
"Quality Street","1"
"Storck","3"
"Glen Grant","8"
"Rothmans","2"
"AVK Confectionery","1"
"Hello Kitty","21"
"Kelsen","2"
"Bahlsen","3"
"Windel","1"
"Pringles","15"
"Skross","4"
"Kirsberry","1"
"Glamour","3"
"Tchibo","6"
"Montecristo","16"
"Wratislavia","1"
"Badel","1"
"Two Oceans","1"
"Ulric de Varens","10"
"Grand Sud","4"
"Smarties","5"
"Antonio Banderas","11"
"Issey Miyake","35"
"Borisfen","2"
"Piper-Heidsieck","4"
"Jatone","2"
"Zlatogor","0"
"Medley's","1"
"John Barr","5"
"James Bond","2"
"Bolchoj","5"
"Furst Potemkin","2"
"Blossom Hill","5"
"Jacqueline","1"
"Menestrello","1"
"Peter Lehmann","1"
"Schlumberger","1"
"Zonin","2"
"Chatelle","2"
"Delamain","1"
"Paramount","2"
"LD","0"
"Monte Carlo","4"
"Dubliss","2"
"Ashima","1"
"Lambretta","11"
"Belkin","26"
"ArArAt","9"
"Berentzen","3"
"Brugal","1"
"Czar's","9"
"Fonte Al Cerro","1"
"Kindzmarauli","1"
"Kremlevka","4"
"Organika","6"
"Domaines Ott","5"
"Tbilvino","11"
"Barton & Guestier","23"
"Montale","40"
"Budweiser","2"
"Krombacher","1"
"Lvivske","3"
"Khlibna Polovynka","2"
"Perepelka","1"
"Pervak","4"
"Celsius","1"
"Athenos","1"
"Akashi","1"
"Chita","1"
"Connemara","3"
"Togouchi","1"
"Yamazakura","1"
"Koskenkorva","6"
"KAH","0"
"Single Cane","2"
"Kraken","1"
"Abtshof","0"
"Diana","2"
"Minttu","3"
"Chateau Cheval Blanc","44"
"Chateau Haut-Brion","44"
"Cusumano","2"
"Tinto Pesquera","0"
"Jinzu","1"
"Krimart","2"
"Tic Tac","4"
"William Lawson’s","3"
"Kweichow Moutai","1"
"Molinari","1"
"Feeney’s","2"
"Chateau Laroque","44"
"Kupferberg","1"
"Condor","0"
"Elie Saab","16"
"Melitta","1"
"Holiday","1"
"Safari","1"
"Old Pascas","2"
"OUZO 12","1"
"Pimm's","1"
"Heaven Hill","1"
"Kilbeggan","2"
"Tchibo Davidoff","6"
"Greenalls","1"
"E&J Gallo","1"
"Fossil","167"
"Festina","27"
"Coeur De Lion","61"
"Daniel Wellington","40"
"Skagen","102"
"Frederique Constant","26"
"Diesel","36"
"TAG Heuer","3"
"Michael Kors","70"
"Tumi","84"
"Tiziana Terenzi","11"
"Amouage","31"
"Medinet","1"
"M.Micallef","13"
"Xerjoff","26"
"Majda Bekkali","9"
"Alexandre.J","10"
"Pupa","87"
"Sospiro","8"
"Xtorm","15"
"Hama","1"
"Giovanni","33"
"Artdeco","92"
"Cohiba","12"
"Tiedemanns","2"
"H. Upmann","1"
"Moods","1"
"Jose L Piedra","3"
"Orlik","2"
"State Express 555","1"
"Mac Baren","1"
"W.O. Larsen","2"
"Hoyo de Monterrey","1"
"Carrera","16"
"Celine","36"
"IC Berlin","2"
"Maui Jim","65"
"Persol","15"
"Rituals","71"
"La Organic","1"
"Bounty","3"
"Adler","0"
"Al Rifai","13"
"Baratti & Milano","12"
"Bassett's","0"
"Bergkraft","3"
"Bergwild","2"
"Brookside","0"
"Cartwright & Butler","2"
"Celebrations","2"
"ChocoMe","5"
"Chocolaterie Bruntz","0"
"Cipriani","0"
"Dantesse","0"
